content,publish_date
"2000년 방영된 ‘심슨 가족’의 한 장면과 카멀라 해리스 부통령의 모습 비교 이미지 (작가 앨 진의 엑스(X) 갈무리)


우연히 미래를 예측해 화제된 미국 최장수 시트콤 애니메이션 ‘심슨 가족’이 다시 한번 주목받고 있다. 이번에는 카멀라 해리스 미국 부통령의 대권 도전을 예견했다는 해석이 나왔다.

22일(현지시각) 엑스(옛 트위터) 등 소셜미디어에는 2000년 방영된 심슨 가족의 한 에피소드를 지금의 상황과 비교한 게시물이 퍼지고 있다. CNN과 CBS등 미국 언론들도 이 게시물에 주목했다.

‘바트 투 더 퓨처’(Bart to the Future)라는 제목으로 방영된 이 에피소드는 심슨 가족의 자녀 중 하나인 리사 심슨이 성장해 2030년 미국 최초의 여성 대통령이 되는 이야기를 그린다.

애니메이션에서 리사 심슨은 보라색 재킷에 진주 귀걸이와 목걸이를 착용하고 있다. 해리스 부통령은 2021년 취임식에서 보라색 재킷에 진주 목걸이와 귀걸이를 착용하고 나왔다. 두 장면이 묘하게 비슷해 만화가 또 미래를 예측했다는 반응이 나오고 있다.

심슨 가족 작가인 앨 진은 전날 자신의 엑스에 두 이미지를 비교해 올리면서 “심슨 가족의 예측에 참여하게 돼 자랑스럽다”고 썼다.

다만 이 에피소드에서는 리사 심슨이 ‘트럼프 대통령’의 뒤를 이어 첫 여성 대통령이 되는 설정이어서 현재 상황과는 약간 차이가 있다.

심슨 가족은 가상으로 설정한 상황이 현실에서 실제로 이루어져 여러 차례 회자됐다. 특히 17년 전에 도널드 트럼프 전 대통령을 대통령으로 묘사해 크게 화제 됐다.

이외에도 월트디즈니와 21세기폭스사의 합병, 레이디 가가의 공중 부양 공연 등을 예측하기도 했다. 또 1990년대에 이미 영상통화가 가능한 휴대전화, 가상현실 안경 등 첨단 기술을 그렸고 코로나19 팬데믹 같은 전염병과 잠수함 여행 사고 등의 재난을 그렸다.

CNN은 “TV에서 가장 오랫동안 방영된 심슨가족은 다시 한 번 현대판 노스트라다무스로 극찬을 받고 있다”며 “로또 번호를 알려줄 수 있겠냐”고 물었다.",2024.07.23. 오후 1:35
"“김정은, 핵동결 대가로 미군철수 요구할 가능성”
허버트 맥매스터 전 국가안보보좌관 ⓒ뉴시스
미국 공화당 대선 후보인 도널드 트럼프 전 대통령이 백악관에 재입성할 경우 북한은 핵동결과 장거리탄도미사일(ICBM) 프로그램 중단을 대가로 주한미군 철수를 요구할 것이란 전망이 나왔다.

트럼프 행정부 초기 안보정책을 맡았던 지낸 허버트 맥매스터 전 국가안보보좌관은 22일(현지시각) 워싱턴DC 싱크탱크 허드슨연구소 대담에서 “만약 트럼프가 대통령에 당선되면 김정은은 브로맨스에 다시 불을 붙이려할 것”이라고 말했다.

그는 “김정은은 곧바로 (트럼프 전 대통령에게) ‘이봐, 당신에게 제안할 거래가 있어’라고 말할 것”이라고 내다봤다.

이어 “(김정은은) ‘내가 당신(미국)의 (대외 역할) 축소(retrenchment)에 대한 충동을 만족시켜 주겠다. 미군이 한반도에서 철수하는 대신 내가 핵무기 몇 개만 갖게 해달라. 그러면 나는 장거리 탄도미사일 프로그램을 중단하고 핵 프로그램을 제한하겠다’라고 말할 것”이라고 예상했다.

그러면서 “김정은은 이란 핵 협상과 같은 것을 얻길 희망할 것이다. 그것은 미국에 끔찍한 거래”라며 “그는 트럼프 행정부에서 그것을 얻을 수는 없지만, 이를 위해 스스로 그런 자세를 취할 것”이라고 전망했다.

그는 북한과 러시아, 중국, 이란 등이 원하는 것은 “미국을 핵심 지역에서 밀어내는 것”이라며 “이는 그 역내에서 지배력을 달성하기 위한 첫 단계”라고 했다.

또한 동맹국의 방위비 분담 문제와 관련 “트럼프 전 대통령은 미국 국민이 자신들의 관대함에 무임 승차하는 것을 원하지 않는다는 강력한 주장을 하고 있다”고 했다.

이어 “두 나라(한국과 일본)는 모두 미군의 (주둔) 비용을 지불하고 있기 때문에 만약 미군을 (한국과 일본에서) 미국으로 옮긴다면 그 전력과 시설을 유지하기 위해 미국 납세자들은 3~4배를 더 내야 할 것”이라고 말했다.

트럼프 전 대통령은 지난 18일 공화당 전당대회에서 대선 후보 수락 연설 중 “(백악관으로) 돌아가면 나는 그(김정은)와 잘 지낼 것이다”며 “김정은도 내가 돌아와 다시 만나기를 바란다. 내 생각에 그는 나를 그리워한다”고 말했다.",2024.07.23. 오전 9:11
"경북 봉화군 봉화읍 내성4리 경로당에서 경북경찰 과학수사대가 현장감식을 하고 있는 가운데, 오갈곳이 없어진 어르신들이 더위를 피해 나무 그늘 아래 모여있다. 뉴스1 2024.7.17
경북 봉화군 ‘농약 사건’ 피해자들의 상태가 호전되면서 경찰 수사에 속도가 붙을 전망이다.

22일 경북경찰청에 따르면 농약 중독 증세로 병원 중환자실에서 치료를 받던 피해자 5명 중 3명의 건강 상태가 크게 호전됐다. 1명은 일반병실로 옮겨도 될 만큼 회복됐다.

경찰 관계자는 “의식이 돌아온 환자들의 상태를 지켜보고 차례로 진술받을 방침”이라며 “뒤늦게 쓰러진 80대 여성의 집에 대해서는 따로 감식 중”이라고 말했다.

경찰은 이들이 마신 커피와 농약성분이 검출된 경로당 내 용기 등을 수거해 국립과학수사연구원에 감식을 의뢰했다.

이 사건은 초복인 지난 15일 봉화군 봉화읍 내성4리에서 일어났다. 당시 경로당 회원 41명은 오리고기 등으로 점심을 먹었다. 이후 경로당으로 이동해 커피를 마신 60~80대 여성 5명이 심정지, 의식불명 등 중태에 빠졌다.

피해자들의 위세척액에서는 에토펜프록스와 터부포스 등 2가지 살충제 성분이 검출됐다.",2024.07.22. 오전 9:55
"ⓒ뉴시스


미국 공화당 대선후보인 도널드 트럼프 전 대통령은 21일(현지시간) 조 바이든 미국 대통령이 민주당 대선후보를 사퇴한 후 승계자로 거론되는 카멀라 해리스 부통령에 대해 “바이든보다 이기기 쉽다”고 자신감을 드러냈다.

트럼프 전 대통령은 이날 CNN과 통화에서 “바이든은 미국 역사상 최악의 대통령으로 기록될 것”이라고 말했다.

바이든 대통령이 해리스 부통령을 차기 민주당 대선 후보로 지지한 것에 대해선 “해리스는 바이든보다 이기기 쉽다”고 주장했다.
ⓒ뉴시스

그는 또 자신의 소셜미디어(SNS)인 트루스소셜에 “부패한 조 바이든은 대선 출마에 부적합했다”면서 “그는 확실히 (대통령직을) 수행하기에 부적합(not fit to serve)하며, 적합한 적도 없다”고 힐난했다.

이어 “그는 거짓말과 가짜뉴스, (건강 상태를 숨기기 위해) 자신의 지하실을 떠나지 않으면서 대통령 자리를 차지했다”며 “주치의와 언론을 포함해 그 주변의 모든 사람은 대통령직을 (수행)할 수 없다는 것을 알았다”고 맹공했다.

그러면서 “우리는 그가 저지른 피해를 신속하게 치유할 것”이라고 했다.

바이든 대통령은 내년 1월20일을 끝으로 남은 임기를 종료하게 됐다.",2024.07.22. 오전 9:28
"골드버그대사 “한미동맹 가치와 굳건함을 확인하는 소중한 공연”
전쟁기념사업회(회장 백승주)는 20일 오후 전쟁기념관 중앙홀에서 ‘미해군 군악대 연주회’를 주한미국대사관과 공동 개최했다.

2024 세계관악컨퍼런스 참석차 방한한 미해군 군악대는 워싱턴본부의 해군 군악대로, 아시아에서의 공연은 처음이다. 이날 행사에는 필립 골드버그(Philip S. Goldberg) 주한미국대사, 닐 코프로스키(Neil A. Koprowski, 해군 소장) 주한미해군사령관 등이 참석하여 자리를 빛냈다.

로버트 코트(Robert Coats, 중령) 군악대장의 지휘하에 미해군 군악대는 1984년 LA 올림픽 공식 팡파르곡 (Olympic Fanfare and Theme), 스타워즈 메인 테마곡 등 총 8곡을 연주했다. 마지막 앙코르곡으로 전통민요 ‘아리랑’이 연주되어 600여 명 관람객들에게 깊은 울림과 감동을 선사했다.

백승주 전쟁기념사업회장은 미해군 군악대 연주에 감탄과 찬사를 아끼지 않으며, “이번 공연이 한미동맹 71주년을 기념하고 양국 간 우호를 다지는 계기가 되길 바란다”고 말했다. 골드버그 대사는 역사적으로 의미가 깊은 전쟁기념관에서 미해군 공연을 하게 되어 영광이라며, “오늘 연주회를 통해 양국 간 동맹의 가치와 굳건함을 다시 한번 느낄 수 있었다”고 말했다.",2024.07.22. 오전 8:40
"어머니 뇌출혈로 식물인간→해외리그 포기
운동 말고는 몰라…그만둔 후 현실 냉혹
현재 뷰티샵 운영하며 아이들 축구 지도

운전자 없이 질주하는 트럭을 따라가 올라탄 이 청년은 한때 그라운드를 누비던 프로축구선수였다. 몸에 배어 있던 그의 반사 신경이 이런 데서 튀어나올 줄은 예상 못했다.

세 달 전 경기 광주시 태전동의 학원가 비탈길에서 굴러 내려가는 1t 트럭을 세워 화제 됐던 ‘의인’ 이희성 씨(30)를 그의 일터에서 만났다. 이 씨는 뷰티샵을 운영하고 있다. 사고 당시 골절됐던 발목은 깁스를 풀었지만 조금 불편한 모습이었다.

이 씨의 뷰티샵이 있는 건물은 학원이 즐비한 초등학교 인근에 있었다. 건물 바로 앞은 경사가 상당히 가파른 도로가 150m가량 이어져 있고 그 길 끝에는 아이들이 많이 드나드는 학원 건물이 정면으로 있었다.

사고가 발생한 건 지난 4월 10일 오후 2시 50분경이다. 이 씨는 당시 잠시 허리도 펴고 커피도 한잔할 겸 건물 밖으로 나와 서성이고 있었다. 그때 갑자기 비탈길에 서 있던 1톤 트럭이 굴러가기 시작했다. 속도가 점점 붙으면서 적재함의 짐이 추락했고, 옆에는 60대 남성이 매달려 질질 끌려가고 있었다.

이 씨의 몸은 이미 트럭을 향해 내달리고 있었다. 그는 “생각할 시간이 없었다. 몸이 먼저 반응했다”고 떠올렸다.

이 씨가 트럭을 따라가 차를 세우는 모습. 채널A 갈무리

이 씨는 50여 미터를 달려 트럭을 따라잡았지만 하필 딱 그 지점 길가에 SUV 승용차가 서 있었다. 이 씨는 자칫 두 차량 사이에 낄 뻔했다. 위험천만한 상황. 다행히 트럭 창문은 열려있었고, 이 씨는 운전대 쪽으로 손을 쭉 뻗었다. 이로 인해 방향이 살짝 틀어진 트럭은 SUV 범퍼를 스치면서 지나쳐 갔다. 이 씨는 다시 멀어진 트럭을 따라가 겨우 차문을 열고 몸을 욱여넣었다.

이 씨가 브레이크 페달을 밟으며 차는 멈췄다. 뒤따라온 트럭기사는 피가 나고 있었다. 끌려오는 과정에 도로에 피부가 쓸린 것이다. 이 씨는 운전석에 오르려는 기사를 겨우 말리면서 트럭을 안전한 곳으로 대신 이동시켜주고 119를 불러줬다.

이때까지 이 씨는 본인이 더 크게 다친 사실을 몰랐다. 병원 검사결과 이 씨는 왼쪽 발목이 골절돼 있었다. 슬리퍼를 신고 전속력으로 달리다가 발목이 돌아간 것이었다. 이 씨는 부상을 입었지만 다행히 다친 행인은 아무도 없었다. 두 차량도 스치면서 범퍼를 긁혔을 뿐 크게 파손되지는 않았다.

이 씨가 사고가 있었던 장소에서 당시를 설명하고 있다.
이 씨는 “수시로 학원차가 다니는 곳이다. 특히 맞은편 건물은 학원이 많아 애가 튀어나왔으면 어쩔 뻔 했나 끔찍하더라. 차를 막을 수 있어서 다행이라고 생각한다”고 말했다.

“나의 20대는 시련…아픈 상처 있어”
이 씨가 자신의 뷰티샵 인근에서 기자와 만나 이야기 하고 있다.
현재 이 씨가 운영하는 매장은 ‘반영구 뷰티샵’. 사라진 눈썹을 살리는 일이다. 무엇보다 꼼꼼함을 요하는 직업이지만 놀라운 반전이 있었다. 이 씨의 원래 직업은 프로축구선수였다. 해외리그까지 진출한 유망주였다.

초등학교 때부터 축구를 한 이 씨는 17세 때 유럽으로 넘어가 당시는 독일 1부리그였던 본SC에 입단해 활동했다. 이후 튀르키예 오르두스포르 구단으로부터 스카우트 제의를 받는 등 활발한 해외 활동을 이어갔다.

그러던 중 가족들과의 문자대화에서 이상한 점을 느꼈다. 이 씨가 어머니에게 보낸 카톡의 답장이 ‘엄마 말투’가 아니었다.

이 씨는 “엄마 말투는 항상 ‘아들 뭐뭐 했니? 라고 ‘니’자로 끝나는데 아버지 말투였다”고 떠올렸다. 이상함을 느낀 이 씨는 다른 가족을 떠봤고 어머니가 쓰러졌다는 사실을 알게됐다. 한창 전도유망한 아들에게 좌절감을 안길 수 없어 숨겨온 것이다. 이 씨는 “저에게 절대 이야기하지 말라고 친척들에게 신신당부했는데 내게 걸렸다”고 말했다.

이희성 씨의 축구 선수 시절. 이 씨 제공

이 씨의 어머니는 40대초반의 젊은 나이에 뇌출혈로 쓰러져 현재까지 식물인간으로 요양병원에서 지내고 있다. 이 씨는 “어머니가 움직이지도, 말하지도 못하고 인지조차 못한다. 그냥 숨만 쉬는 정도”라고 설명했다.

어린 나이에 어머니와 대화조차 할 수 없게 됐다는 사실은 이 씨에게 너무 큰 충격이었다. 이 씨는 한국에 돌아온 후 마음을 다잡고 FC오사카 등 일본 3부리그에서 뛰기도 했지만 우울증을 겪으며 좀처럼 컨디션을 예전처럼 끌어올리지 못했다. 결국 포천시민구단을 끝으로 24세의 나이에 선수생활을 마무리했다.

“운동할 때 괜찮다가도 어머니 생각만 하면 우울증이 너무 심해졌어요. 정신이 건강하지 않으니 몸도 건강이 나빠졌어요. 그래서 결국 그만뒀어요.”

우울증 이겨내고 다시…엄마에게 떳떳한 아들로
축구를 그만둔 후, 운동 말고 다른 일을 배운 적 없던 그에게 현실은 냉혹했다. 심리치료를 받아야 할 만큼 시련이 밀려왔다.

“축구장에서는 박수도 많이 받았고 누가 내 이름 불러주면 최고가 된 것처럼 생각했는데, 사회에 나왔더니 저는 아무것도 아니었어요. 많은 걸 느꼈어요. 아무것도 아닌 나로선 남들보다 2배 3배 더 노력해야 된다는 사실을 깨달았어요. 애들도 가르쳐보고, 환경미화일도 해보고 그렇게 치열하게 살아왔던 것 같아요.”

이희성 씨의 축구 선수 시절. 이 씨 제공

그러다가 초등학교 때부터 알고 지내던 축구선수 출신 선배의 조언으로 현재의 일을 배우게 됐다. 올해 3년째 하고 있으며 나름 만족감을 느끼며 일하고 있다고 했다. 주변에 실력 좋다고 소문도 나 있다.

이 씨는 힘들어하던 시절에 아버지가 했던 말을 떠올렸다. “어느 날 아버지가 ‘사람 많은 곳에 가서 10분만 서 있어보라’고 저에게 말했어요. 그래서 번화한 거리에 나가서 서 있어 봤는데, 나 말고 다들 치열하게 사는 거에요. ‘나보다 더 힘들게 사는 사람이 많구나. 난 스스로에게 핑계를 대고 살았구나’ 깨달았어요.”

그때부터 마음을 다잡았다. 이 씨는 “내가 더 열심히 사는 모습을 보여야지 엄마도 자랑스러워 하시겠구나. 먼 훗날 떳떳하게 엄마를 만나려면 후회 없는 삶을 살아야겠다”고 마음먹었다고 밝혔다. 그 후로 자연스럽게 우울증도 치료되고 단단해졌다고 회상했다.

이희성 씨가 어린이들에게 축구를 지도하는 모습

이 씨는 평일에는 뷰티샵을 운영하지만 주말에는 아이들에게 축구를 가르치고 있다. 축구도 지도하지만 아이들에게 좋은 이야기를 많이 해준다고 한다. 특히 뜻하지 않게 축구를 그만두게 되더라도 이겨나갈 수 있는 멘탈을 심어주려 노력한다고 밝혔다.

끝으로 사람들에게 하고 싶은 말을 묻자 “많은 관심 가져주시고 좋게 평가해 주신 것은 감사하지만 제가 뭐라고 그런 이야기를 하겠냐”며 “시간이 지나니까 그 일이 잘 기억도 안 난다. 이게 정말 대단한 일인지 아직도 잘 모르겠다”며 웃어 보였다.

■ ‘따뜻한 세상을 만들어가는 사람들’(따만사)은 기부와 봉사로 나눔을 실천하는 사람들, 자기 몸을 아끼지 않고 위기에 빠진 타인을 도운 의인들, 사회적 약자를 위해 공간을 만드는 사람들 등 우리 사회에 선한 영향력을 행사하는 이웃들에 대한 이야기입니다. 주변에 숨겨진 ‘따만사’가 있으면 메일(ddamansa@donga.com) 주세요.",2024.07.19. 오후 2:00
"유튜브 채널 상남철 영상 갈무리
‘쯔양 공갈·협박 사건’ 연루 의혹에 휩싸인 유튜버 ‘카라큘라’(본명 이세욱)가 사무실 간판을 내린 것으로 파악됐다.

17일 유튜브 채널 상남철 등에 따르면 ‘카라큘라 미디어’ 사무실이 있던 서울 강남구 역삼동 건물에서 며칠 사이 간판이 사라졌다.

해당 건물에는 카라큘라와 절친한 사이인 천호성 변호사가 함께 입주해 있었는데, 카라큘라 미디어 간판만 사라진 상황이다.

이에 대해 천 변호사는 자신의 유튜브 채널 ‘빡친변호사’ 커뮤니티에 글을 올려 “카라큘라의 사무실 간판은 건물 주변에 유튜버들과 BJ들이 생방송을 하겠다고 몰려드는 탓에 주변 상인분들께 미안해서 뗀 것”이라고 밝혔다.

하지만 상남철은 “제가 카라큘라 사무실 근처에 몇번이나 있었지만, 유튜버나 기자를 아무도 못봤다”고 반박했다.

앞서 카라큘라는 쯔양 공갈 사건이 수면 위로 떠오른 뒤 “저는 제 두 아들을 걸고 유튜버로서 살며 누군가에게 부정한 돈을 받아먹은 사실이 없다”고 밝혔다.

현재 쯔양 측은 카라큘라를 제외한 구제역과 전국진 만을 공식적으로 고소한 상태다. 쯔양 측은 “의심이 가는 부분이 없는 것은 아니지만 카라큘라가 직접적으로 쯔양 쪽에 연락한 적은 없다고 확인이 돼 우선은 제외했다”고 설명했다.",2024.07.18. 오후 5:55
"“불법 행위 책임 물을 것”
배우 변우석/뉴스1 ⓒ News1


배우 변우석의 ‘과잉 경호’ 논란과 관련해 이학재 인천국제공항공사 사장은 “사설 경호업체가 이 정도로 엉뚱한 행위를 하고 과잉 대응한 경우가 없었기에 예견하기 어려웠다”고 말했다.

17일 국회 국토교통위원회 전체회의에 출석한 이학재 사장은 ‘누구의 책임인가? 인천공항은 무엇이 미흡했냐?”는 전용기 더불어민주당 의원의 질문에 이같이 답하며 “이번 일을 계기로 대책을 강구하겠다”고 밝혔다.

이 사장은 “(이번과 같은 논란은) 공항이 생긴 이래 처음 있는 일”이라며 “1년에 수백 명의 연예인이 외국으로 나가고 있는데 이번처럼 특별하게 사설 경호업체가 과잉 대응한 경우가 없었다”고 말했다.
ⓒ뉴시스

‘애초 경호 전에 아무 협의가 없었냐?’는 질문에는 “사설 경호는 저희와 협의하는 게 아니고 경찰과 협의해 허가받는 것이다. 공사는 경찰로부터 통보를 받는다”고 답했다.

사설 경호업체가 게이트를 통제한 부분에 대해선 “말이 안 되는 상황이 벌어졌다”며 “저희가 그것을 발견하지 못한 책임은 있다. (자세한 시간은)다시 한번 확인해야 하는데, 이 사람들이 허락없이 게이트 통제를 한 부분은 분명히 잘못된 것이고, 이것에 대해 책임을 물을 것”이라고 강조했다.
이학재 인천국제공항공사 사장이 국회(임시회) 제2차 국토교통위원회에 출석해 답변하고 있다 (국회방송)

사설 경호원이 사진촬영 방해 목적으로 플래시를 쏘고 다른 승객의 탑승권을 검사한 행위에 대해선 “불법 행위가 맞다”고 했다.

‘이 같은 과잉 경호가 이뤄질 것을 예상 못했냐?’는 지적이 나오자 “알지 못했다”며 “일년 동안 이것보다 더 많은 연예인이 다녔어도 지금과 같이 엉뚱한 행위를 한 사설 경호업체는 없었다”고 거듭 강조했다.

이 사장은 향후 대책으로 “사설 경호업체의 공항 내 행동준칙 등을 경찰과 협의해 만들고, (위반 시) 처벌을 강화하는 방안을 찾겠다”고 밝혔다.",2024.07.18. 오후 3:36
"“어째 이런일이…놀란 가슴 아직도 진정 안돼”
ⓒ뉴시스
“어찌 이런일이…” 초복날 농약 음독 사건이 벌어진 경북 봉화군 봉화읍 내성4리 주민들은 지금도 놀란 가슴이 진정이 안된다고 했다.

16일 경로당 앞에는 출입을 통제하는 노란띠가 설치돼 있다. 인근 쉼터 정자에서는 경북도경찰청 형사기동대 대원들이 경로당 회원들을 상대로 탐문수사를 진행했다.

주민들은 40명이 함께 먹었는데 어떻게 늦게 와서 먹은 사람들만 이런 일이 일어났는지 이해가 안된다고 했다.

쉼터에서 만난 장모(84·여) 할머니는 뉴시스에 “어제 새벽 5시쯤인가 서울에 사는 아들이 ‘어머니는 괜찮으시냐’라고 전화가 와서 농약사고를 알았다. 평소에는 잠 깨운다고 아침에는 전화를 하지 않는 아들인데. 당일에는 이런 일이 있었는지 몰랐다”고 말했다.

할머니는 이틀전 이 곳에서 발생한 사건에 대해 아직까지 놀란 모습이 역력했다.
ⓒ뉴시스

장 할머니는 지난 15일 오전 초복을 맞아 경로당 여성 회원들과 함께 인근 식당으로 갔다. 모여든 여성 회원 41명은 오전 11시 40분경 오리불고기로 점심식사를 시작했다.

회장(76·여), 부회장(65·여), A(70·여)씨, B(78·여)씨, C(78·여)씨 등 5명은 다른 회원들보다 40여분 늦은 낮 12시 20분경 식당에 도착하면서 자연스럽게 같은 테이블에 앉게 됐다.

식사를 마친 후 부회장과 A 씨는 탁구를 치러 노인복지관으로 갔다가 쓰러져 안동병원으로 이송됐다. A 씨는 심정지 상태, 부회장은 의식을 잃은 상태였다.

식사 후 경로당으로 갔던 회장도 의식을 잃고 쓰러지면서 안동병원으로 옮겨졌다. B 씨는 당일 오후 경찰조사를 받던 중 쓰러져 인근 병원을 찾았다가 이튿날 증세가 악화되면서 안동병원에 입원했다.

같은 테이블에서 함께 식사했던 5명 중 4명이 농약 중독으로 쓰러지고, 한 명만 건강에 이상이 없는 것으로 알려졌다.

입원한 주민들 위세척 내용물에서는 살충제 농약(에토펜프록스, 터부포스 등) 성분이 검출됐다. 소변 및 혈액에서는 농약 성분이 검출되지 않은 것으로 알려졌다
ⓒ뉴시스

“그날 같이 식사했지요. 우리 경로당에서 왜 이런 일이 일어났는지 모르겠네요. 회장도 사람이 좋고, 부회장도 성격이 좋은데.”

경로당 앞을 지나가던 한 할머니는 “혹시 원한을 샀나”라면서도 “그럴 사람들이 아닌데”라며 고개를 저었다.

병원 관계자는 “아직까지 환자들의 의식이 없는 상태”라며 “약 조절 등을 통해 치료하고 있다”고 전했다.

경찰도 수사전담팀을 구성해 수사에 속도를 내고 있다. 경북경찰청 형사과장을 팀장으로 총 57명의 수사전담팀을 편성했다.

경찰 관계자는 “용의자 특정을 위해 다각적으로 수사 중이지만 아직 용의자를 특정하지는 못한 상태”라며 “현장 CCTV 분석, 관련자 조사 등을 통해 사건 경위를 명확히 밝히겠다”고 말했다.",2024.07.18. 오후 2:37
"박세리 박세리희망재단 이사장이 18일 서울 강남구 스페이스쉐어 삼성코엑스센터에서 기자회견을 열고 자신의 부친 고소와 관련 입장을 밝히고 있다. 뉴스1
‘골프 여제’ 박세리가 부친 고소 파문이 있은 후 직접 근황을 전했다.

박세리는 17일 방송된 E채널 심리 분석 코멘터리 쇼 ‘한 끗 차이: 사이코멘터리’에 게스트로 출연했다.

방송에서 장성규는 “요즘 어떻게 지내는지 안부를 물어봐도 되냐?”고 질문했다.

박세리는 “워낙 바쁘게 지내고 있다. 그대로 살고 있다”며 “아시는 것처럼 이런저런 일이 있긴 하다. 하지만 그건 누구나 다 거쳐가는 과정 중 하나라고 생각하고, 잘 처리하고 진행 중”이라고 답했다.

최근 박세리희망재단은 박세리 부친을 사문서위조 혐의로 대전 유성경찰서에 고소했다. 부친 박 씨는 국제골프학교 설립 업체로부터 참여 제안을 받고 재단의 법인 도장을 몰래 제작해 사용한 혐의를 받는다.

이후 기자회견을 연 박세리는 “부친의 오랜 채무 문제를 해결하려 노력했으나 더는 감당할 수 없는 지경에 이르렀다”고 밝혔다. 그러면서 “이 사건(고소) 이후로는 아버지와 연락하고 있지 않다”고 털어놨다.

박세리는 아픈 가정사를 뒤로하고 활발한 활동을 이어가고 있다. ‘한 끗 차이’ 방송에 게스트로 참여한데 이어, 오는 26일부터 열리는 ‘제33회 파리올림픽’에서 골프 해설위원을 맡을 예정이다.",2024.07.18. 오후 2:12
